tier_name,tier_idx,task,start,end,text,valid,interval_idx
speaker_0-kaldi-words,1,picture_task_1,123.27,125.25,His writing his skateboard.,1.0,2.0
speaker_0-kaldi-words,1,picture_task_2,130.02,141.48,He crashes into the egg the dinosaur egg while he was writing a skateboard and then he got upset.,1.0,4.0
speaker_0-kaldi-words,1,picture_task_3,144.53,147.77,Then he listened to the egg when he fell off.,1.0,6.0
speaker_0-kaldi-words,1,picture_task_4,150.9,158.88,And the egg started hatching and started cracking and then lie and then he was shocked.,1.0,8.0
speaker_0-kaldi-words,1,picture_task_5,162.04,175.93,And then a little like dinosaur popped out of it and he was like scans in marie dinner it was confused.,1.0,10.0
speaker_0-kaldi-words,1,picture_task_6,180.28,190.94,And then the dinosaur just hopped out of the egg and the boys like startled to the ground.,1.0,12.0
speaker_0-kaldi-words,1,picture_task_7,194.89,202.24,And a ran and hid from the dinosaur sorry the dinosaur because he felt the dinosaur am.,1.0,14.0
speaker_0-kaldi-words,1,picture_task_8,205.51,209.83,But the dinosaur looked around and saw that the guy left.,1.0,16.0
speaker_0-kaldi-words,1,picture_task_9,212.65,221.05,And that's him lying on the ground like being upset because a cape cod by his calm and his friends.,1.0,18.0
speaker_0-kaldi-words,1,picture_task_10,223.77,231.08,And then the boy felt sorry and while he was hiding because the dinosaur was sad.,1.0,20.0
speaker_0-kaldi-words,1,picture_task_11,233.22,235.56,And say when taiwan pat of the dinosaur.,1.0,22.0
speaker_0-kaldi-words,1,picture_task_12,238.36,240.64,And gave the dinosaur some of his milk.,1.0,24.0
speaker_0-kaldi-words,1,picture_task_13,243.46,248.65,And he started laughing because the dinosaur looked funny.,1.0,26.0
speaker_1-kaldi-words,2,picture_task_1,81.8,125.24,Move maybe he said.,1.0,2.0
speaker_1-kaldi-words,2,picture_task_2,133.6,133.99,Bag.,1.0,4.0
speaker_1-kaldi-words,2,picture_task_3,147.32,147.53,Now.,1.0,6.0
speaker_1-kaldi-words,2,picture_task_4,159.39,159.59,Year.,1.0,8.0
speaker_1-kaldi-words,2,picture_task_5,,,,0.0,
speaker_1-kaldi-words,2,picture_task_6,,,,0.0,
speaker_1-kaldi-words,2,picture_task_7,,,,0.0,
speaker_1-kaldi-words,2,picture_task_8,,,,0.0,
speaker_1-kaldi-words,2,picture_task_9,,,,0.0,
speaker_1-kaldi-words,2,picture_task_10,,,,0.0,
speaker_1-kaldi-words,2,picture_task_11,,,,0.0,
speaker_1-kaldi-words,2,picture_task_12,,,,0.0,
speaker_1-kaldi-words,2,picture_task_13,,,,0.0,
